location_name,Month,TotalDevices,CENTER_ID,BldgGroupID,BldgGroupName,Group,Region
Tanger Outlets Branson,2019-06-01,28862,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2019-07-01,38342,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2019-08-01,30450,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2019-09-01,16397,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2019-10-01,20829,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2019-11-01,32430,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2019-12-01,32926,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-01-01,10047,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-02-01,11182,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-03-01,9652,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-04-01,265,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-05-01,7980,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-06-01,23256,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-07-01,34773,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-08-01,30370,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-09-01,18288,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-10-01,22606,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-11-01,27931,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2020-12-01,31168,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-01-01,11661,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-02-01,7790,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
